The Outsider; MARTIN ZANDVLIET; CRIME,DRAMA,MYSTERY;An epic set in post-WWII Japan and centered on an American former G.I. who joins the yakuza.;https://www.movie-list.com/img/posters/big/outsider2018.jpg; QNNcl2mEHzQ;tt2011311
The Forgiven; ROLAND JOFFE; THRILLER;After the end of Apartheid, Archbishop Desmond Tutu meets with a brutal murderer seeking redemption.;https://www.movie-list.com/img/posters/big/forgiven.jpg;_lpuc162YpI;tt2249081
The Week Of; ROBERT SMIGEL;COMEDY;The parents of a soon-to-be married couple make the final preparations for the wedding ceremony.;https://www.movie-list.com/img/posters/big/weekof.jpg;vc0fb3xhFHY;tt6821012
Fahrenheit 451;RAMIN BAHRANI;DRAMA, SCI-FI;In a terrifying care-free future, a young man, Guy Montag, whose job as a fireman is to burn all books, questions his actions after meeting a young girl...and begins to rebel against society.;https://www.movie-list.com/img/posters/big/fahrenheit451.jpg;UEhsFEgsI5U;tt0360556
Paterno;BARRY LEVINSON;BIOGRAPHY, DRAMA; The film centers on Joe Paterno, who, after becoming the winningest coach in college football history, is embroiled in Penn State's Jerry Sandusky sexual abuse scandal, challenging his legacy and forcing him to face questions of institutional failure regarding the victims.; https://www.movie-list.com/img/posters/big/paterno.jpg;scI7dYdlzuY;tt2388986
Little Pink House; COURTNEY BALAKER;DRAMA; A small-town nurse named Susette Kelo emerges as the reluctant leader of her working-class neighbors in their struggle to save their homes from political and corporate interests bent on seizing the land and handing it over to Pfizer Corporation.;https://www.movie-list.com/img/posters/big/littlepinkhouse.jpg;9DH1saMDuzs;tt3863632
Action Point; TIM KIRKBY; COMEDY;A daredevil designs and operates his own theme park with his friends.;https://www.movie-list.com/img/posters/big/actionpoint.jpg;ri1Cc3Yz09U;tt6495770
